song_id,song_name,song_duration,song_url,popularity_score,album_id,artist_ids
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,90,7tzVd1fwkxsorytCBjEJkU,"['1Xyo4u8uXC1ZmMpatF05PJ', '250b0Wlc5Vk0CoUsaCY84M', '1pBLC0qVRTB5zVMuteQ9jJ']"
2qSkIjg1o9h3YT9RAgYN75,Espresso,175459,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,89,5quMTd5zeI9yW5UDua8wS4,['74KM79TiuVKeVCqs8QtB0B']
2plbrEY59IikOBgBGLjaoe,Die With A Smile,251667,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,100,10FLjwfpbxLmW8c25Xyc2N,"['1HY2Jd0NmPuamShAr6KMms', '0du5cEVh5yTK9QJze8zA0C']"
3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,265427,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS,82,5VoeRuTrGhTbKelUfwymwu,['00FQb4jTyendYWaN8pK0wa']
4oHQ8n9OKQ3599e8noCrDX,I Think They Call This Love,193573,https://open.spotify.com/track/4oHQ8n9OKQ3599e8noCrDX,77,5bZT73mZyTvxu3de7BBhEu,['2PI9HrzzMTN7E5poWl4QX5']
2vtmY2mSccRzKGjtcHSzI3,Diet Mountain Dew,222920,https://open.spotify.com/track/2vtmY2mSccRzKGjtcHSzI3,77,5VoeRuTrGhTbKelUfwymwu,['00FQb4jTyendYWaN8pK0wa']
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),256000,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL,92,2IRxVVqbSbqHJo8Zx50LYn,"['1Xyo4u8uXC1ZmMpatF05PJ', '699OTQXzgjhIYAHMy9RyPD']"
7MXVkk9YMctZqd1Srtv4MB,Starboy,230453,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,87,2ODvWsOgouMbaA5xf0RkJe,"['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']"
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,186365,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP,87,5bBaoign62r1i7OV8w7mi9,['74KM79TiuVKeVCqs8QtB0B']
02MWAaffLxlfxAUY7c5dvx,Heat Waves,238805,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,31,0KTj6k94XZh0c6IEMfxeWV,['4yvcSjfu4PC0CYQyLy4wSq']
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,178426,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,89,1NAmidJlEaVgA3MpcPFYGq,['06HL4z0CvFAxyc27GXpf02']
2yR2sziCF4WEs3klW1F38d,KEEP UP,133226,https://open.spotify.com/track/2yR2sziCF4WEs3klW1F38d,83,526xuSD6c45Gb5hH4rN8RY,['7ITMCzIU9uII8gwRg8JAhc']
